Gene	Non-unique Gene name	Annotation	No. isolates	No. sequences	Avg sequences per isolate	Genome Fragment	Order within Fragment	Accessory Fragment	Accessory Order with Fragment	QC	Min group size nuc	Max group size nuc	Avg group size nuc	GCA_013335335.1	GCA_013335765.1	GCF_000020465.1	GCF_001509575.1	EMN001-megahit_021	GOY005-megahit_001	PES001-megahit_018	PLV001-megahit_001	PLV001-megahit_002	RIG001-megahit_014	specificity	COG_category	Description	Preferred_name	EC	KEGG_ko	KEGG_Module	KEGG_Reaction	KEGG_rclass	PFAMs
group_3360		hypothetical protein	3	3	1	191	2642	97.0	543.0		1175	1193	1181	00877	00595	00853								C. limicola	S	PFAM metal-dependent phosphohydrolase HD sub domain	-	-	-	-	-	-	HD
group_3361		hypothetical protein	3	3	1	191	2643	97.0	542.0		1085	1085	1085	00878	00594	00852								C. limicola	T	Adenylate guanylate cyclase	-	-	-	-	-	-	Guanylate_cyc
group_3362		hypothetical protein	3	3	1	191	2882	97.0	540.0		941	941	941	00880	00592	00850								C. limicola	S	SdiA-regulated	-	-	-	-	-	-	SdiA-regulated
group_3364	trmH_1	tRNA (guanosine(18)-2'-O)-methyltransferase	3	3	1	191	2634	97.0	538.0		623	623	623	00882	00590	00848								C. limicola	J	Catalyzes the 2'-O methylation of guanosine at position 18 in tRNA	trmH	2.1.1.34	ko:K00556	-	-	-	SpoU_methylas_C,SpoU_methylase
group_3365		hypothetical protein	3	3	1	191	2635	97.0	537.0	Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits	365	365	365	00883	00589	00847								C. limicola	-	-	-	-	-	-	-	-	-
group_3369	mgtA	GDP-mannose-dependent alpha-mannosyltransferase	3	3	1	191	5630	95.0	1670.0		1145	1145	1145	00888	01985	02162								C. limicola	H	PFAM glycosyl transferase group 1	-	-	-	-	-	-	Glyco_trans_1_4,Glyco_transf_4,Glycos_transf_1
group_337		hypothetical protein	3	3	1	191	6445	95.0	3511.0		437	935	603	01032	02128	00025								C. limicola	-	-	-	-	-	-	-	-	-
group_3370		hypothetical protein	3	3	1	191	5631	95.0	1669.0		464	464	464	00889	01986	02163								C. limicola	S	PFAM YbaK prolyl-tRNA synthetase associated region	-	-	ko:K19055	-	-	-	tRNA_edit
group_3371		hypothetical protein	3	3	1	191	5632	95.0	1668.0		587	587	587	00890	01987	02164								C. limicola	M	Has lipid A 3-O-deacylase activity. Hydrolyzes the ester bond at the 3 position of lipid A, a bioactive component of lipopolysaccharide (LPS), thereby releasing the primary fatty acyl moiety	-	-	ko:K12980	-	-	-	Alginate_exp,OMP_b-brl,Surface_Ag_2
group_3372		hypothetical protein	3	3	1	191	5190	95.0	2153.0		257	257	257	00893	02218	01897								C. limicola	K	PFAM Cold-shock protein, DNA-binding	-	-	ko:K03704	-	-	-	CSD
group_3373	guaB	Inosine-5'-monophosphate dehydrogenase	3	3	1	191	4590	95.0	1437.0		1493	1493	1493	00896	01882	01540								C. limicola	F	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth	guaB	1.1.1.205	ko:K00088	M00050	R01130,R08240	RC00143,RC02207	CBS,IMPDH,NMO
group_3376	pcm	Protein-L-isoaspartate O-methyltransferase	3	3	1	191	6738	96.0	227.0		695	695	695	00900	01788	00278								C. limicola	J	Catalyzes the methyl esterification of L-isoaspartyl residues in peptides and proteins that result from spontaneous decomposition of normal L-aspartyl and L-asparaginyl residues. It plays a role in the repair and or degradation of damaged proteins	pcm	2.1.1.77	ko:K00573	-	-	-	PCMT
group_3377		hypothetical protein	3	3	1	191	6735	96.0	228.0		593	593	593	00901	01789	00277								C. limicola	S	Domain of unknown function DUF123	-	-	-	-	-	-	DUF123
group_3384		hypothetical protein	3	3	1	191	5536	95.0	2548.0		548	548	548	00919	01956	02134								C. limicola	-	-	-	-	-	-	-	-	-
group_3385	menE	2-succinylbenzoate--CoA ligase	3	3	1	191	5535	95.0	2547.0		1448	1448	1448	00920	01955	02133								C. limicola	IQ	PFAM AMP-dependent synthetase and ligase	-	6.2.1.26	ko:K01911	M00116	R04030	RC00004,RC00014	AMP-binding,AMP-binding_C
group_3387	truB	tRNA pseudouridine synthase B	3	3	1	191	69	100.0	6.0		731	731	731	00924	01748	00319								C. limicola	J	Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs	truB	5.4.99.25	ko:K03177	-	-	-	TruB_C_2,TruB_N
group_3388	ribF	Bifunctional riboflavin kinase/FMN adenylyltransferase	3	3	1	191	68	100.0	5.0		965	965	965	00925	01747	00320								C. limicola	H	Belongs to the ribF family	-	2.7.1.26,2.7.7.2	ko:K11753	M00125	R00161,R00549	RC00002,RC00017	FAD_syn,Flavokinase
group_3392	glmU_2	Bifunctional protein GlmU	3	3	1	191	70	100.0	14.0		734	734	734	00931	01741	00326								C. limicola	M	Nucleotidyl transferase	-	2.7.7.23	ko:K11528	M00362	R00416	RC00002	NTP_transf_3,NTP_transferase
group_3394		hypothetical protein	3	3	1	191	444	100.0	4.0		443	443	443	00933	01739	00328								C. limicola	S	Lipopolysaccharide-assembly, LptC-related	-	-	-	-	-	-	LptC
group_3395		hypothetical protein	3	3	1	191	71	100.0	3.0		557	560	558	00934	01738	00329								C. limicola	M	PFAM outer membrane chaperone Skp (OmpH)	-	-	ko:K06142	-	-	-	OmpH
group_3396		hypothetical protein	3	3	1	191	72	100.0	2.0		749	749	749	00935	01737	00330								C. limicola	-	-	-	-	-	-	-	-	-
group_3398		hypothetical protein	3	3	1	191	6720	96.0	241.0		722	722	722	00939	01539	00264								C. limicola	-	-	-	-	-	-	-	-	-
group_3399		hypothetical protein	3	3	1	191	6719	96.0	242.0		737	737	737	00940	01540	00263								C. limicola	L	Domain of unknown function (DUF4130	-	-	-	-	-	-	DUF4130
group_3404	ppx2	Exopolyphosphatase 2	3	3	1	191	6222	96.0	1332.0		935	935	935	00955	00121	02507								C. limicola	FP	PFAM Ppx GppA phosphatase	-	3.6.1.11,3.6.1.40	ko:K01524	-	R03409	RC00002	Ppx-GppA
group_3405		hypothetical protein	3	3	1	191	6223	96.0	1337.0		1259	1259	1259	00956	00120	02508								C. limicola	L	ribosomal rna small subunit methyltransferase	-	-	-	-	-	-	-
group_3406	bioD	ATP-dependent dethiobiotin synthetase BioD	3	3	1	191	3668	96.0	1341.0		689	689	689	00959	00117	02511								C. limicola	H	Catalyzes a mechanistically unusual reaction, the ATP- dependent insertion of CO2 between the N7 and N8 nitrogen atoms of 7,8-diaminopelargonic acid (DAPA) to form an ureido ring	bioD	2.1.1.197,6.3.3.3	ko:K01935,ko:K02169	M00123,M00572,M00573,M00577	R03182,R09543	RC00003,RC00460,RC00868	AAA_26
group_3407		putative protein	3	3	1	191	6230	96.0	23.0		683	683	683	00961	00115	02513								C. limicola	S	Protein of unknown function (DUF452)	-	3.1.1.85	ko:K09789	M00572	R09725	RC00460,RC00461	DUF452
group_3408	trpF	N-(5'-phosphoribosyl)anthranilate isomerase	3	3	1	191	4967	95.0	1788.0		647	647	647	00963	00071	01716								C. limicola	F	Belongs to the TrpF family	trpF	5.3.1.24	ko:K01817	M00023	R03509	RC00945	PRAI
group_3415	murI	Glutamate racemase	3	3	1	191	127	100.0	124.0		737	737	737	00974	00160	00367								C. limicola	M	Provides the (R)-glutamate required for cell wall biosynthesis	murI	5.1.1.3	ko:K01776	-	R00260	RC00302	Asp_Glu_race
group_3416	ligA	DNA ligase	3	3	1	191	5490	95.0	2499.0		2021	2021	2021	00978	00721	02097								C. limicola	L	DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA	ligA	6.5.1.2	ko:K01972,ko:K10754	M00289,M00295	R00382	RC00005	BRCT,DNA_ligase_OB,DNA_ligase_ZBD,DNA_ligase_aden,HHH_2,HHH_5
group_3417		hypothetical protein	3	3	1	191	5489	95.0	2498.0		617	617	617	00979	00722	02096								C. limicola	S	PFAM conserved	-	3.2.2.10	ko:K06966	-	R00182,R00510	RC00063,RC00318	Lysine_decarbox
group_3419	nnr	Bifunctional NAD(P)H-hydrate repair enzyme Nnr	3	3	1	191	1787	95.0	3106.0		1571	1571	1571	00983	00892	01250								C. limicola	H	Bifunctional enzyme that catalyzes the epimerization of the S- and R-forms of NAD(P)HX and the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. This allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration	nnrD	-	-	-	-	-	Carb_kinase,YjeF_N
group_3421	mscL	Large-conductance mechanosensitive channel	3	3	1	191	1791	95.0	1135.0		452	452	452	00985	00894	01248								C. limicola	C	Channel that opens in response to stretch forces in the membrane lipid bilayer. May participate in the regulation of osmotic pressure changes within the cell	mscL	-	ko:K03282	-	-	-	MscL
lpxL		Lipid A biosynthesis lauroyltransferase	3	3	1	191	6748	96.0	215.0		923	923	923	00988	01778	00288								C. limicola	M	PFAM lipid A biosynthesis acyltransferase	-	2.3.1.241	ko:K02517	M00060	R05146	RC00037,RC00039	Lip_A_acyltrans
group_3424		hypothetical protein	3	3	1	191	6747	96.0	216.0		149	149	149	00989	01779	00287								C. limicola									
group_3425		hypothetical protein	3	3	1	191	6746	96.0	217.0		272	272	272	00990	01780	00286								C. limicola	S	Nucleotidyltransferase domain	-	-	-	-	-	-	NTP_transf_2
hldE		Bifunctional protein HldE	3	3	1	191	6745	96.0	218.0		503	503	503	00991	01781	00285								C. limicola	H	Catalyzes the ADP transfer from ATP to D-glycero-beta-D- manno-heptose 1-phosphate, yielding ADP-D-glycero-beta-D-manno- heptose	-	-	-	-	-	-	CTP_transf_like
group_3427		hypothetical protein	3	3	1	191	6744	96.0	219.0		4511	4511	4511	00992	01782	00284								C. limicola	S	Pfam:DUF490	-	-	-	-	-	-	TamB
group_3428	coaBC	Coenzyme A biosynthesis bifunctional protein CoaBC	3	3	1	191	6743	96.0	220.0		1226	1226	1226	00993	01783	00283								C. limicola	H	Catalyzes two steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine, in the latter compound is decarboxylated to form 4'-phosphopantotheine	-	4.1.1.36,6.3.2.5	ko:K13038	M00120	R03269,R04231	RC00064,RC00090,RC00822	DFP,Flavoprotein
group_3429	udg	Type-4 uracil-DNA glycosylase	3	3	1	191	6742	96.0	221.0		635	635	635	00994	01784	00282								C. limicola	L	TIGRFAM phage SPO1 DNA polymerase-related protein	-	3.2.2.27	ko:K21929	-	-	-	UDG
group_3449	birA	Bifunctional ligase/repressor BirA	3	3	1	191	3667	96.0	1345.0		992	992	992	01020	00112	02516								C. limicola	H	Acts both as a biotin-- acetyl-CoA-carboxylase ligase and a repressor	birA	6.3.4.15	ko:K03524	-	R01074,R05145	RC00043,RC00070,RC00096,RC02896	BPL_C,BPL_LplA_LipB,HTH_11
group_3459		hypothetical protein	3	3	1	191	5966	96.0	932.0		893	893	893	01035	01817	02379								C. limicola	S	von Willebrand factor type A	-	-	-	-	-	-	DUF58
group_3460		hypothetical protein	3	3	1	191	5967	96.0	933.0		998	998	998	01036	01818	02380								C. limicola	S	PFAM ATPase associated with various cellular activities, AAA_3	-	-	ko:K03924	-	-	-	AAA_3
group_3464	argS	Arginine--tRNA ligase	3	3	1	191	6308	96.0	1438.0		1655	1655	1655	01043	01115	02571								C. limicola	J	TIGRFAM arginyl-tRNA synthetase	argS	6.1.1.19	ko:K01887	M00359,M00360	R03646	RC00055,RC00523	Arg_tRNA_synt_N,DALR_1,tRNA-synt_1d
group_3465	nadD	Nicotinate-nucleotide adenylyltransferase	3	3	1	191	6309	96.0	1439.0		596	596	596	01044	01114	02572								C. limicola	F	Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD)	nadD	2.7.7.18	ko:K00969	M00115	R00137,R03005	RC00002	CTP_transf_like
group_3467		hypothetical protein	3	3	1	191	4520	95.0	1504.0		407	407	407	01052	01624	01474								C. limicola	-	-	-	-	-	-	-	-	-
group_3468		hypothetical protein	3	3	1	191	4519	95.0	1505.0		452	452	452	01053	01623	01473								C. limicola	S	nuclear protein SET	-	-	ko:K07117	-	-	-	SET
flA		5'-fluoro-5'-deoxy-adenosine synthase	3	3	1	191	141	96.0	473.0		833	833	833	01055	01597	00429								C. limicola	M	S-adenosyl-l-methionine hydroxide adenosyltransferase	-	-	ko:K22205	-	-	-	SAM_adeno_trans
group_3470		hypothetical protein	3	3	1	191	6192	96.0	1306.0		230	230	230	01059	00928	02484								C. limicola	-	-	-	-	-	-	-	-	-
spoIIIE		DNA translocase SpoIIIE	3	3	1	191	889	96.0	490.0		2444	2444	2444	01066	01185	00438								C. limicola	D	PFAM cell divisionFtsK SpoIIIE	-	-	ko:K03466	-	-	-	FtsK_4TM,FtsK_SpoIIIE,Ftsk_gamma
group_3485	glkA	Glucokinase	3	3	1	191	5828	99.0	221.0		986	986	986	01079	01421	02268								C. limicola	GK	PFAM ROK family protein	-	2.7.1.2	ko:K00845	M00001,M00549	R00299,R01600,R01786	RC00002,RC00017	ROK
group_3486		hypothetical protein	3	3	1	191	5827	99.0	222.0		692	692	692	01080	01420	02267								C. limicola	S	PFAM phosphoribosyltransferase	-	-	-	-	-	-	Pribosyltran
group_3487	rsmE	Ribosomal RNA small subunit methyltransferase E	3	3	1	191	5826	99.0	223.0		746	746	746	01081	01419	02266								C. limicola	J	Specifically methylates the N3 position of the uracil ring of uridine 1498 (m3U1498) in 16S rRNA. Acts on the fully assembled 30S ribosomal subunit	-	2.1.1.193	ko:K09761	-	-	-	Methyltrans_RNA
group_349	entS	Enterobactin exporter EntS	3	3	1	191	6484	95.0	3468.0		1169	1322	1269	01256	00770	00064								C. limicola	EGP	major facilitator superfamily MFS_1	-	-	-	-	-	-	MFS_3
group_3490		hypothetical protein	3	3	1	191	5823	99.0	226.0		2093	2093	2093	01084	01416	02263								C. limicola	S	Tetratricopeptide repeat	-	-	-	-	-	-	-
group_3491		hypothetical protein	3	3	1	191	5822	99.0	227.0		908	908	908	01085	01415	02262								C. limicola	S	sequence-specific DNA binding	-	-	-	-	-	-	HTH_19,HTH_25,HTH_3
bacC		Dihydroanticapsin 7-dehydrogenase	3	3	1	191	5821	99.0	228.0		713	713	713	01086	01414	02261								C. limicola	IQ	PFAM short-chain dehydrogenase reductase SDR	-	-	-	-	-	-	-
group_3495		hypothetical protein	3	3	1	191	806	96.0	360.0		551	551	551	01095	01203	00501								C. limicola	P	belongs to the Fur family	perR	-	ko:K09825	-	-	-	FUR
group_3496		hypothetical protein	3	3	1	191	805	96.0	359.0		665	665	665	01096	01204	00502								C. limicola	S	Fibrobacter succinogenes major domain (Fib_succ_major)	-	-	-	-	-	-	Fib_succ_major
group_3507		hypothetical protein	3	3	1	191	5783	99.0	249.0		419	419	419	01107	01382	02242								C. limicola	O	Belongs to the small heat shock protein (HSP20) family	-	-	ko:K13993	-	-	-	HSP20
group_351	sad	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad	3	3	1	191	255	228.0	123.0		311	1376	738	01257	01577	00409								C. limicola	C	Belongs to the aldehyde dehydrogenase family	-	1.2.1.16,1.2.1.20,1.2.1.79	ko:K00135	M00027	R00713,R00714,R02401	RC00080	Aldedh
group_3511		hypothetical protein	3	3	1	191	4085	99.0	11.0		446	446	446	01111	01378	02238								C. limicola	-	-	-	-	-	-	-	-	-
group_352		hypothetical protein	3	3	1	191	6474	95.0	3479.0		1817	2678	2388	01301	00760	00054								C. limicola	S	MAC/Perforin domain	-	-	-	-	-	-	MACPF
group_3521		Putative esterase	3	3	1	191	4462	95.0	1395.0		446	446	446	01127	02069	01572								C. limicola	Q	PFAM thioesterase superfamily protein	-	3.1.2.28	ko:K19222	M00116	R07262	RC00004,RC00174	4HBT
group_3522	ybeY	Endoribonuclease YbeY	3	3	1	191	4701	95.0	1321.0		434	434	434	01131	00449	01649								C. limicola	J	Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA	ybeY	-	-	-	-	-	UPF0054
group_3523		hypothetical protein	3	3	1	191	4702	95.0	1320.0		572	572	572	01132	00450	01648								C. limicola	-	-	-	-	-	-	-	-	-
cysL		HTH-type transcriptional regulator CysL	3	3	1	191	233	228.0	44.0		911	911	911	01140	01632		01481							C. limicola	K	PFAM regulatory protein, LysR	-	-	-	-	-	-	HTH_1,LysR_substrate
group_3531	trpC	Indole-3-glycerol phosphate synthase	3	3	1	191	822	96.0	379.0		776	776	776	01142	01007	00489								C. limicola	F	Belongs to the TrpC family	trpC	4.1.1.48	ko:K01609	M00023	R03508	RC00944	IGPS
group_3532	bamA_2	Outer membrane protein assembly factor BamA	3	3	1	191	819	96.0	375.0		2192	2192	2192	01144	01009	00491								C. limicola	M	surface antigen variable number repeat protein	-	-	-	-	-	-	Bac_surface_Ag,POTRA
group_3534	polA	DNA polymerase I	3	3	1	191	816	96.0	371.0		2831	2831	2831	01147	01012	00494								C. limicola	L	In addition to polymerase activity, this DNA polymerase exhibits 5'-3' exonuclease activity	polA	2.7.7.7	ko:K02335	-	R00375,R00376,R00377,R00378	RC02795	5_3_exonuc,5_3_exonuc_N,DNA_pol_A,DNA_pol_A_exo1
group_3535	ruvC	Crossover junction endodeoxyribonuclease RuvC	3	3	1	191	812	96.0	367.0		572	572	572	01150	01015	00497								C. limicola	L	Nuclease that resolves Holliday junction intermediates in genetic recombination. Cleaves the cruciform structure in supercoiled DNA by nicking to strands with the same polarity at sites symmetrically opposed at the junction in the homologous arms and leaves a 5'-terminal phosphate and a 3'-terminal hydroxyl group	ruvC	3.1.22.4	ko:K01159	-	-	-	RuvC
group_3536	menG	Demethylmenaquinone methyltransferase	3	3	1	191	5487	95.0	2496.0		725	725	725	01153	00724	02094								C. limicola	H	Methyltransferase required for the conversion of demethylmenaquinol (DMKH2) to menaquinol (MKH2)	menG	2.1.1.163,2.1.1.201	ko:K03183	M00116,M00117	R04990,R04993,R06859,R08774,R09736	RC00003,RC01253,RC01662	Ubie_methyltran
group_3537	macA_2	Macrolide export protein MacA	3	3	1	191	5481	95.0	2494.0		1085	1085	1085	01155	00726	02092								C. limicola	M	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family	-	-	-	-	-	-	HlyD_D23
group_3538		hypothetical protein	3	3	1	191	1581	95.0	2905.0		497	497	497	01160	00830	01410								C. limicola	S	Putative bacterial sensory transduction regulator	-	-	-	-	-	-	YbjN
group_3541	mpl	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase	3	3	1	191	4305	95.0	1778.0		1424	1424	1424	01164	00034	01762								C. limicola	M	PFAM cytoplasmic peptidoglycan synthetase domain protein	-	6.3.2.45	ko:K02558	-	-	-	Mur_ligase,Mur_ligase_C,Mur_ligase_M
group_3543	grpE	Protein GrpE	3	3	1	191	5035	95.0	1777.0		623	629	625	01168	00030	01766								C. limicola	O	Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ	grpE	-	ko:K03687	-	-	-	GrpE
prmC_1		Release factor glutamine methyltransferase	3	3	1	191	5037	95.0	2000.0		890	890	890	01170	00028	01768								C. limicola	J	Methylates the class 1 translation termination release factors RF1 PrfA and RF2 PrfB on the glutamine residue of the universally conserved GGQ motif	prmC	2.1.1.297	ko:K02493	-	R10806	RC00003,RC03279	MTS,Methyltransf_31
group_3545		hypothetical protein	3	3	1	191	5036	95.0	1999.0		740	740	740	01171	00027	01769								C. limicola	S	Domain of unknown function (DUF4412)	-	-	-	-	-	-	DUF4412
group_3546	murB	UDP-N-acetylenolpyruvoylglucosamine reductase	3	3	1	191	1801	95.0	3123.0		1628	1628	1628	01174	00902	01240								C. limicola	M	Cell wall formation	murB	1.3.1.98	ko:K00075	-	R03191,R03192	RC02639	FAD_binding_4,MurB_C
group_3547		hypothetical protein	3	3	1	191	1800	95.0	3122.0		428	428	428	01175	00901	01241								C. limicola									
group_3548	recJ	Single-stranded-DNA-specific exonuclease RecJ	3	3	1	191	600	97.0	229.0		1715	1715	1715	01177	00949	00587								C. limicola	L	PFAM phosphoesterase, RecJ domain protein	-	-	ko:K07462	-	-	-	DHH,DHHA1
group_3550		hypothetical protein	3	3	1	191	5785	99.0	247.0		308	308	308	01181	01384	02244								C. limicola									
group_3555		hypothetical protein	3	3	1	191	4536	95.0	1488.0		416	416	416	01189	01657	01489								C. limicola	P	Pfam Secreted repeat of	-	-	ko:K19519	-	-	-	Fasciclin,Lipoprotein_15
group_3556		hypothetical protein	3	3	1	191	4537	95.0	1487.0		1022	1022	1022	01190	01656	01490								C. limicola	H	PFAM UbiA prenyltransferase	-	-	-	-	-	-	UbiA
group_3557		hypothetical protein	3	3	1	191	4538	95.0	1486.0		404	404	404	01191	01655	01491								C. limicola									
group_3558		hypothetical protein	3	3	1	191	4539	95.0	1485.0		374	374	374	01192	01654	01492								C. limicola	-	-	-	-	-	-	-	-	-
sbcD		Nuclease SbcCD subunit D	3	3	1	191	1632	95.0	2958.0		1235	1235	1235	01194	01019	01365								C. limicola	L	SbcCD cleaves DNA hairpin structures. These structures can inhibit DNA replication and are intermediates in certain DNA recombination reactions. The complex acts as a 3'- 5' double strand exonuclease that can open hairpins. It also has a 5' single-strand endonuclease activity	sbcD	-	ko:K03547	-	-	-	Metallophos,SbcD_C
group_3576	lolE_2	Lipoprotein-releasing system transmembrane protein LolE	3	3	1	191	1733	95.0	3054.0		1268	1268	1268	01216	01031	01288								C. limicola	M	MacB-like periplasmic core domain	-	-	ko:K09808	M00255	-	-	FtsX,MacB_PCD
group_3578		hypothetical protein	3	3	1	191	1730	95.0	3051.0		959	959	959	01218	01033	01290								C. limicola	P	PBP superfamily domain	-	-	ko:K02040	M00222	-	-	PBP_like_2
group_3581		hypothetical protein	3	3	1	191	4512	95.0	1211.0		503	503	503	01224	01617	01467								C. limicola	S	PFAM DoxX family protein	-	1.8.5.2	ko:K16937	-	R07177	-	DoxX
group_3592		hypothetical protein	3	3	1	191	5645	95.0	1655.0		758	758	758	01239	01999	02176								C. limicola	C	PFAM NADH ubiquinone oxidoreductase 20 kDa subunit	-	-	-	-	-	-	Oxidored_q6
resA_2		Thiol-disulfide oxidoreductase ResA	3	3	1	191	3401	95.0	46.0		530	530	530	01244	02122	00031								C. limicola	CO	PFAM alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen	-	-	-	-	-	-	AhpC-TSA,Redoxin
tolC		Outer membrane protein TolC	3	3	1	191	6493	95.0	3458.0		1325	1325	1325	01248	00778	00073								C. limicola	MU	efflux transmembrane transporter activity	-	-	ko:K12340	M00325,M00326,M00339,M00571,M00575,M00646,M00647,M00696,M00697,M00709,M00720,M00821	-	-	OEP
group_36		hypothetical protein	3	3	1	191	5438	95.0	2359.0		896	896	896					00047	00718				00040	none									
group_360	yheS	putative ABC transporter ATP-binding protein YheS	3	3	1	191	5343	95.0	2310.0		764	1952	1556	01410	00227	02028								C. limicola	S	PFAM ABC transporter related	-	-	ko:K06158	-	-	-	ABC_tran,ABC_tran_CTD,ABC_tran_Xtn
group_3600		hypothetical protein	3	3	1	191	6492	95.0	3459.0		473	473	473	01249	00777	00072								C. limicola	T	AMP binding	-	-	-	-	-	-	Usp
group_3601	emrA	Colistin resistance protein EmrA	3	3	1	191	6491	95.0	3460.0		995	995	995	01250	00776	00071								C. limicola	V	PFAM secretion protein HlyD family protein	emrA	-	ko:K03543	M00701	-	-	Biotin_lipoyl_2,HlyD_3,HlyD_D23
emrB		Multidrug export protein EmrB	3	3	1	191	6490	95.0	3463.0		1586	1586	1586	01251	00775	00070								C. limicola	P	PFAM major facilitator superfamily MFS_1	-	-	ko:K03446	M00701	-	-	MFS_1
group_3604		hypothetical protein	3	3	1	191	6486	95.0	3467.0		578	578	578	01255	00771	00066								C. limicola	-	-	-	-	-	-	-	-	-
group_3605		hypothetical protein	3	3	1	191	256	228.0	124.0		1214	1214	1214	01258	01578	00410								C. limicola	KT	response regulator	-	-	-	-	-	-	-
group_3606		hypothetical protein	3	3	1	191	257	228.0	125.0		1202	1202	1202	01259	01579	00411								C. limicola	K	luxR family	-	-	-	-	-	-	-
group_3607		Putative low molecular weight protein-tyrosine-phosphatase	3	3	1	191	258	228.0	126.0		470	470	470	01260	01580	00412								C. limicola	T	low molecular weight phosphotyrosine protein phosphatase	-	3.1.3.48	ko:K01104	-	-	-	LMWPc
dagK		Diacylglycerol kinase	3	3	1	191	259	228.0	127.0		902	902	902	01261	01581	00413								C. limicola	I	PFAM diacylglycerol kinase catalytic region	-	-	-	-	-	-	DAGK_cat
group_3609		hypothetical protein	3	3	1	191	260	228.0	128.0		1256	1256	1256	01262	01582	00414								C. limicola	M	Sugar nucleotidyl transferase	-	-	-	-	-	-	Hexapep,NTP_transf_4
trpG		Anthranilate synthase component 2	3	3	1	191	261	228.0	129.0		566	566	566	01263	01583	00415								C. limicola	EH	TIGRFAM glutamine amidotransferase of anthranilate synthase	-	4.1.3.27	ko:K01658	M00023	R00985,R00986	RC00010,RC02148,RC02414	GATase
group_3611		hypothetical protein	3	3	1	191	262	228.0	130.0		737	737	737	01264	01584	00416								C. limicola	S	Belongs to the LOG family	-	3.2.2.10	ko:K06966	-	R00182,R00510	RC00063,RC00318	Lysine_decarbox
group_3612		hypothetical protein	3	3	1	191	263	228.0	131.0		488	488	488	01265	01585	00417								C. limicola	C	Haem-binding domain	-	-	-	-	-	-	Haem_bd
group_3613		hypothetical protein	3	3	1	191	266	228.0	29.0		1220	1220	1220	01267	01587	00419								C. limicola	O	ResB-like family	-	-	-	-	-	-	ResB
norR_2		Anaerobic nitric oxide reductase transcription regulator NorR	3	3	1	191	5210	95.0	2170.0		1301	1301	1301	01274	02232	01911								C. limicola	T	phosphorelay signal transduction system	zraR	-	-	-	-	-	HTH_8,Sigma54_activat
rssB		Regulator of RpoS	3	3	1	191	5209	95.0	2169.0		1631	1631	1631	01275	02231	01910								C. limicola	T	response regulator, receiver	-	3.1.3.3	ko:K07315	-	-	-	HATPase_c_2,PAS_9,Response_reg,SpoIIE
rcsC_5		Sensor histidine kinase RcsC	3	3	1	191	5208	95.0	2168.0		2057	2057	2057	01276	02230	01909								C. limicola	T	Histidine kinase	-	-	ko:K03413	M00506	-	-	EAL,GGDEF,HATPase_c,HisKA,PAS_3,PAS_4,PAS_9,Response_reg
group_3620		Ribonuclease	3	3	1	191	5207	95.0	2167.0		1388	1388	1388	01277	02229	01908								C. limicola	J	PFAM beta-lactamase domain protein	-	-	ko:K07576	-	-	-	Beta-Casp,Lactamase_B,RMMBL
group_3624	mutB	Methylmalonyl-CoA mutase large subunit	3	3	1	191	2828	97.0	668.0		2147	2147	2147	01283	00643	00902								C. limicola	I	TIGRFAM methylmalonyl-CoA mutase, large subunit	-	5.4.99.2	ko:K01847	M00373,M00376,M00741	R00833	RC00395	B12-binding,MM_CoA_mutase
group_3625		hypothetical protein	3	3	1	191	2826	97.0	669.0		1814	1814	1814	01284	00644	00903								C. limicola	I	PFAM methylmalonyl-CoA mutase	-	5.4.99.2	ko:K01847	M00373,M00376,M00741	R00833	RC00395	MM_CoA_mutase
